TCState,EnrolledFemale,EnrolledMale,EnrolledTransgender,ReportedPlaced_Female,ReportedPlaced_Male,ReportedPlaced_Transgender,TotalEnrolled,TotalReported_Placed
Andaman and Nicobar Islands,1821,2160,0,113,11,0,3981,124
Andhra Pradesh,149322,191489,10,47241,45460,3,340821,92704
Arunachal Pradesh,50993,34785,18,7071,4438,1,85796,11510
Assam,422171,281506,197,34242,24789,5,703874,59036
Bihar,196759,369869,7,44508,68559,0,566635,113067
Chandigarh,11010,12688,0,3494,2398,0,23698,5892
Chhattisgarh,68867,83086,2,13911,12225,0,151955,26136
Delhi,186884,230899,11,44571,28319,3,417794,72893
Goa,2637,7717,1,406,486,0,10355,892
Gujarat,156668,230557,38,36522,28512,0,387263,65034
Haryana,203710,388190,8,74524,76020,0,591908,150544
Himachal Pradesh,69456,65134,2,15980,8473,0,134592,24453
Jammu and Kashmir,150821,159390,9,31502,20159,0,310220,51661
Jharkhand,106661,148841,1,14718,11995,0,255503,26713
Karnataka,178610,290731,2,31651,28581,0,469343,60232
Kerala,105644,151642,3,12704,11426,0,257289,24130
Ladakh,2081,1429,0,584,360,0,3510,944
Lakshadweep,79,191,0,0,0,0,270,0
Madhya Pradesh,329048,442223,10,96431,98729,2,771281,195162
Maharashtra,371890,769903,27,33469,36092,0,1141820,69561
Manipur,70754,24249,12,10099,4954,2,95015,15055
Meghalaya,25231,21979,1,7523,4119,0,47211,11642
Mizoram,20353,12768,0,6081,3392,0,33121,9473
Nagaland,26153,15560,2,3648,2118,0,41715,5766
Odisha,185378,333317,26,28848,31528,2,518721,60378
Puducherry,13179,10640,1,6566,2965,0,23820,9531
Punjab,175819,193768,2,69275,48265,0,369589,117540
Rajasthan,428066,560507,18,74341,95737,1,988591,170079
Sikkim,7534,6284,0,1956,1808,0,13818,3764
Tamil Nadu,348842,269427,14,98113,28226,1,618283,126340
Telangana,129744,203467,3,51021,40652,1,333214,91674
The Dadra and Nagar Haveli and Daman and Diu,4583,5292,0,1642,968,0,9875,2610
Tripura,57322,70198,9,6875,5341,0,127529,12216
Uttar Pradesh,715220,1030002,29,136777,173447,1,1745251,310225
Uttarakhand,95158,99172,6,30471,20582,0,194336,51053
West Bengal,204441,271167,10,49182,51533,0,475618,100715
